Username,Text,Label
IceTrisna95,"b'@detikcom Gk tahu tower punya siapa yang roboh dari jaman  baheula ampe sekarang belum.di benerin   di desa tebing kandang kec,air napal ,bengkulu utara ,bengkulu,yang pasti jaringan telkomsel lemot bnget harus pake aplikasi pengunci jaringan padahal udah 4G'",Negatif
juan_fadhillah,b'By.u yang make jaringan Telkomsel  di Pekanbaru aja udah bisa. Lah kenapa giliran jaringan Telkomsel nya langsung bisa ga ada ya?',Negatif
Gwapamarjinal,"b'Kepada yang terhormat @gojekindonesia \n \n Jaringan Telkomsel yang bermasalah, \n Loading nya lama, Setelah itu orderan saya hilang dan berpindah ke driver sebelah saya, \n Kenapa harus akun driver gojek saya yang mendapatkan notif dari sistem @gojekindonesia seperti ini ? \n \n \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/B4VoQ2Mu8w'",Negatif
arshann,"b'Bingung mau ganti internet di rumah pake apaan. Cuma Indihome yang mau narik kabel ke sini, tapi makin ke sini jelek banget sinyalnya.\n \n Hari ini kejet-kejet banget dari pagi, sampe tethering mulu tapi sinyal Telkomsel juga sama aja. \n \n Ganti apaan ya tolong aku? ~'",Negatif
meinvisHK,"b""AKHIRNYA FINISH !! SETELAH EMOSI SAMA SINYAL TELKOMSEL DAN INDIHOME ANJIRRRRT\n \n GMA: https://t.co/AW0R77qCVs\xe2\x80\xa6\n MTV Ema: https://t.co/4CkYeBN57y\n AMAs: https://t.co/TRKvKugRGX\n \xe2\x80\xa2 Favorite duo \n I'm voting for BTS @BTS_twt for Favorite Pop Duo or Group at the #AMAs https://t.co/68cJc75vyf""",Negatif
cheeseckae,b'Sinyal telkomsel ini emang babi. Masih lebih cepet 3 kemana mana',Negatif
HusseinRuslan,b'@hvtamaa Jaringan Telkomsel elek ngab',Negatif
maghribi93,b'Pagi ini jaringan @Telkomsel sedang jelek sekali :)',Negatif
baltorion,"b'Jaringan Wi-fi kosan ancur, jaringan telkomsel ancur. Dah lah tidur cepat aja'",Negatif
since2thousand2,b'jaringan telkomsel knp jdi lemot bgt siii @Telkomsel',Negatif
heyLA610,b'Sinyal telkomsel kalo ujan kek make 3. Leleeeet \xf0\x9f\x90\x8c',Negatif
_thebluestnight,"b'Anjing bgt nih jaringan telkomsel di jypr muncul hilang trs, aku lg kangen sm doi heh\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1'",Negatif
X1unit4,b'Jaringan Telkomsel hilang terpaksa beli paket yang indosat.pas sudah dibeli jaringan Telkomsel nya muncul\xf0\x9f\xa4\xa6',Negatif
Mellyrachmiuta1,b'Kenapa jaringan telkomsel dr kemaren pagi sampe skrg pagi lg masih erorr\xf0\x9f\xa5\xba untung ada wfi dirumah',Negatif
andraaa_abcd,"b'Gimana sih jaringan telkomsel nih, jelek banget\xf0\x9f\x99\x82'",Negatif
rsnbttrfly,"b'Beli paketnya doang yang mahal, kualitas jaringan Telkomsel jelek'",Negatif
sakgrusuk,b'Sinyal Telkomsel di Jakarta kok busuk kalii \xf0\x9f\x98\xa4',Negatif
qaletheia,b'jaringan telkomsel knp lari2 gni dah hft',Negatif
yustikaydh,"b'LDR yang bikin susah cuma sinyal telkomsel. Boro2 5g, 4g aja ga ketolong\xf0\x9f\xa4\x8c\xf0\x9f\x8f\xbb https://t.co/eQtBoJyJy6'",Negatif
ayyqalbi,"b'Akhir-akhir ini jaringan @Telkomsel agak lambat ya? Beberapa kali, bahkan kirim pesan singkat pun nunggu lama baru terkirim\xf0\x9f\x98\x8c https://t.co/u5c8mulHdb'",Negatif
aanaktunggall,b'sinyal telkomsel jancuk',Negatif
Baninism,"b'@tanyarlfes Semenjak sinyal Telkomsel bapuk, gw langsung berpindah ke XL, lebih murah dan banyak kuota tambahannya. \xf0\x9f\x91\x8d'",Negatif
nommnoman,"b'2 hari terakhir sinyal telkomsel di rumah kok ilang yaa, bener-bener ilang gak tersisa:\xe2\x80\x9d'",Negatif
enonahana,b'Ya ampun tadi sinyal Telkomsel sama indihome ilang \xf0\x9f\x98\xad',Negatif
fauziyahfitr,"b'Sinyal Telkomsel gue kenapa deh kok kayak lola ya belakangan ini, biasanya ada video lewat udah auto play'",Negatif
_numilktea,b'Ini jaringan telkomsel pas ujan langsung ilang apa gimana dah\n \n Perasaan ujannya ga deres2 amat',Negatif
ruttastratus,b'Jaringan Telkomsel kenapa nih? Kok ilang total?',Negatif
maw_ski,"b'Makin deres, makin ilang deh nih sinyal Telkomsel.'",Negatif
buayaamuara,"b'liat nih, jaringan @Telkomsel beneran hilang disini. terpaksa pake provider sebelah. https://t.co/50eylUUauK'",Negatif
Krismonic,b'@hanawn Gue tuh kemaren beli byu biar murah\xe2\x80\xa6 tapi karena sinyal telkomsel juga ya dia jadi bapuk provider yang bagus apaan sih? Wkwkkw indosat juga bapuk :(',Negatif
GilangGee,b'Hal yg bikin auto tepom jidat : sinyal telkomsel jelek banget tapi harga mahal bangeettt',Negatif
cherrykazzahra,b'jaringan telkomsel kenapa jelek bgt mlm ini\xf0\x9f\x98\xa1',Negatif
ronalangit,"b""Seperti biasa jaringan telkomsel selalu lemot ya. Hampir tiap jam.\n \n I'm truly tired. Besok beneran ganti provider baru. Gue gamau pas lagi presentasi kulon ada kendala sinyal gini. Capek bos bulan ini yg terparah dari 6 bulan sebelumnya""",Negatif
anakodox,b'Sinyal Telkomsel jelek nya melebihi sinyal Tri',Negatif
cheesedemarco,b'jaringan telkomsel seperti anjing plis gue mo nonton sjr mumpung unlimited!!!!!',Negatif
sisisny,b'Nih sinyal telkomsel ko bulet aja seharian:(',Negatif
hellomimzy,"b'Astagaaaa, lg mudik padahal rumah tengah kota tp sinyal telkomsel jelek minta ampon'",Negatif
joxkincai,b'Sdh bbrapa hari ini jaringan @Telkomsel di daerah saya hampir tidak bisa digunakan sama sekali (khususnya d siang hari). Belum ada penjelasan maupun tindakan.\n Apa mau dibiarkan saja?',Negatif
vivin_xii,b'Telkomsel parah amat \n lelet bgt sinyal \n \n #Telkomsel @Telkomsel',Negatif
hydrangeaeae,"b'kesel bgt sama sinyal telkomsel, makin blangsak aja'",Negatif
IniMagelangKu,b'Jaringan @IndiHome jelas lagi troubel... Jaringan @Telkomsel yang down atau ikut error daerah mana?',Negatif
dnsyhra,b'Brengsek bgt sinyal telkomsel makin sini makin jelek',Negatif
yesiymw,"b'Jaringan telkomsel gangguan apa ngga kayaknya tiap hari sama aja ditempatku malam2, ribet bener pengen ngajak berantem.'",Negatif
anisalaksmi,b'Sinyal @Telkomsel selalu bapuk kalo mati lampu',Negatif
Ustin_IND,b'Ohh TELKOMSEL dimalam pertukaran Tahun begitu buruk sinyal.\n \n #telkomsel\n #komimfo\n #jaringantelkom\n #sinyalburuk',Negatif
jawaasli_og,b'Memasuki daerah susah sinyal telkomsel. \n Padahal ga di pelosok banget tapi begitu syulit sinyalnya \xe2\x98\xb9\xef\xb8\x8f',Negatif
kadangbangsat,"b'Udah dari lama w ngeluh soal jaringan @Telkomsel ini, disuruh admin nya dm dan ikutin langkah2 yg admin saranin, masih aja sinyal kaya kontol, mahal doang jaringan burik/buffering/nge jump, Telkomsel (terus buat konsumen kesel)'",Negatif
dereysoedharma,b'Jaringan @Telkomsel di Darul Makmur Nagan Raya super Lelet.',Negatif
HamzahAan,b'Sinyal @Telkomsel kacau',Negatif
affifx,b'Sinyal Telkomsel dah kaya 3 kalo ujan lemot',Negatif
DEFence_hr,b'OH JARINGAN TELKOMSEL KEK BANGSAT :))\n Hobi menonton film yang tidak tidak ku terganggu \xf0\x9f\x98\xad\xf0\x9f\x98\xad',Negatif
Justmey012,"b'Karena jaringan telkomsel kosong, terpaksa beli kartu im3. Hadehhhh'",Negatif
MatildaAul,b'@Telkomsel @dinafianti2607 Min @Telkomsel ko jaringan Telkomsel saya H+ terus yaa akhir-akhir ini. Mau pindah haluan cuma sayang bgt ini paketnya. Gimana ya ini.',Negatif
ecky_kurniawan,b'Wait.. ini emang belakangan jaringan telkomsel lagi bapuk ya.. ish..',Negatif
nilaustin,b'Malahan alah di ibu kota lo jaringan telkomsel ko soak \xf0\x9f\xa4\xac',Negatif
moonraylight,"b'jaringan telkomsel kayak barcelona, sama2 lelet'",Negatif
abdul200385,b'Jaringan Telkomsel Lumpuh Total.\n https://t.co/38aK3B5yoz',Negatif
RifaqamaranN,b'Kesel banget sama Jaringan Telkomsel di rmh!!!',Negatif
Ndra_Dejavu,"b'Kirain hp awak yg minta ganti , gataunya jaringan @Telkomsel yg kurang memuaskan . Gimana lah huhuuu'",Negatif
Crixalish_,"b'Sedih bgt ya jaringan telkomsel paling hebat sekarang sementara H+. WiFi masi blm bisa, operator lain juga ikutan lelet. Emang disuruh sosialisasi sama tetangga2 bgst lagi kek nya.'",Negatif
Claudiadewi2,"b'@Telkomsel Ini jaringan Telkomsel kenapa?dari semalem download gambar whatsapp gabisa, ig gabisa ngeload, sudah di restart tapi ya sama aja. lokasi di Tulung, Klaten, Jateng'",Negatif
mjdmms0223,b'jaringan telkomsel jelek banget lagi perbaikan apa ya. indirumah juga gangguan',Negatif
warwanaratwong,b'Jaringan telkomsel didaerah gw belum normal\xf0\x9f\x98\xad',Negatif
alphyvernandaa,b'Real Time... daritadi malem gak bener jaringan @Telkomsel  2 Bar trs down to 3G - Edge \n case : iOS &amp; Android https://t.co/u7yFmN8ndq',Negatif
HannaKartika,"b'Tuh parah kan uda sejam masih begini, sinyal telkomsel emang ANJAY!! https://t.co/gPqlIlYgB1'",Negatif
krucilyzm,b'aaak susah sinyal telkomsel \xf0\x9f\x98\xad\xf0\x9f\x98\xad',Negatif
seputihcoklat,"b'jaringan telkomsel ilang, wifi lemot bgt,- make trikomsel dululah\xf0\x9f\x98\x91'",Negatif
tommysandika,"b'Kapuas hulu., tepat nya di lokasi saya kecamatan biyan tanjung. jaringan Telkomsel sangat buruk sekali..'",Negatif
cupcakecoffeeee,b'@Telkomsel Sedih banget dari pagi gk bisa dipake ni jaringan Telkomsel\xf0\x9f\x98\xad\xf0\x9f\x98\xad',Negatif
Shinsengumi_Kun,b'ini handphone w yg jelek apa emang biadap aja sinyal telkomsel sih',Negatif
urkwonhoshi,b'Harus bertahan ditengah flopnya sinyal Telkomsel di GBK dan antrian yg masih panjang',Negatif
dixkyrd,b'Sinyal telkomsel saya kenapa loading mulu ya? Lemot banget @Telkomsel',Negatif
lagilang_,b'@Telkomsel tolong jaringan telkomsel khususnya daerah kabupaten cirebon jaringan ga stabil sudah 4 bulan ini. Jaringan makin kentang ga seperti dulu. Mohon ditindak lanjuti',Negatif
moonnyangiy,"b'Kenapa sih ini sinyal Telkomsel,IM3, WiFi pada lemot semua'",Negatif
ianmusketer,b'@Telkomsel woy liat nih jaringan telkomsel lelet bgt....gw ganti aja dah providernya',Negatif
ando_lan,b'Benar jg ternyata penampakan logo #tri kemaren mlm adalah kode. Dr sore td jaringan @Telkomsel hilang total. Dan barusan aku beli #kartutri . https://t.co/7IGXgs2NiX',Negatif
ayundaLiana,b'Sinyal telkomsel suret sih',Negatif
zullamuhammad,"b'Dan ngopo mesti nek mati lampu, sinyal telkomsel melu ilang \xf0\x9f\x98\x91'",Negatif
yaafiraa,b'Hilangggg jaringan #telkomsel\n Dan pake wifi masih bisa tapi gimana juga mo komunikasi kalo doi atau yg lain ga pake wifi ma prcuma juga:((',Negatif
jenowinx,b'@taurasyailendra Ig aku gabisa dibuka sama sekali pake jaringan telkomsel maupun indihome HUWAAAAA',Negatif
